Region ID,Region name,objects_total,n_animals,relative_abundance_z,rel_abundance_method,reference_mean,reference_std
222,Nucleus raphe obscurus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
223,Arcuate hypothalamic nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
224,"Cortical amygdalar area, posterior part, lateral zone, layer 2",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
225,Spinal vestibular nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
226,Lateral preoptic area,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
227,"Anterior cingulate area, layer 6b",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
228,"Main olfactory bulb, inner plexiform layer",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
229,sensory root of the trigeminal nerve,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
230,Nucleus raphe pallidus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
231,Anterior tegmental nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
232,"Cortical amygdalar area, posterior part, lateral zone, layer 3",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
233,"Anterolateral visual area, layer 5",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
234,"Temporal association areas, layer 4",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
235,Lateral reticular nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
236,"Main olfactory bulb, mitral layer",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
237,solitary tract,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
238,Nucleus raphe pontis,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
239,Anterior group of the dorsal thalamus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
240,"Cortical amygdalar area, posterior part, medial zone, layer 1",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
241,"Posterior parietal association areas, layer 2/3",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
242,Lateral septal nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
243,"Dorsal auditory area, layer 6b",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
244,"Main olfactory bulb, outer plexiform layer",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
245,spinocervical tract,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
246,"Midbrain reticular nucleus, retrorubral area",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
247,Auditory areas,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
248,"Cortical amygdalar area, posterior part, medial zone, layer 2",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
249,"Posterior auditory area, layer 6a",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
250,"Lateral septal nucleus, caudal (caudodorsal) part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
251,"Primary auditory area, layer 2/3",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
252,"Dorsal auditory area, layer 5",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
253,spinohypothalamic pathway,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
254,Retrosplenial area,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
255,Anteroventral nucleus of thalamus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
256,"Cortical amygdalar area, posterior part, medial zone, layer 3",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
257,"posteromedial visual area, layer 6a",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
258,"Lateral septal nucleus, rostral (rostroventral) part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
259,"Entorhinal area, medial part, ventral zone, layer 1",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
260,"Nucleus of the lateral olfactory tract, molecular layer",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
261,spino-olivary pathway,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
262,Reticular nucleus of the thalamus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
263,Anteroventral preoptic nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
264,"Orbital area, layer 1",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
266,"Lateral septal nucleus, ventral part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
267,"Dorsal peduncular area, layer 6a",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
268,"Nucleus of the lateral olfactory tract, pyramidal layer",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
269,"Posterolateral visual area, layer 2/3",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
270,spinoreticular pathway,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
271,Nucleus sagulum,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
272,Anteroventral periventricular nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
274,"Retrosplenial area, dorsal part, layer 6a",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
